date, cash, etc
11/29/2012,13750,81612
10/19/2012,14701,81492
06/30/2012,22281,76447
06/30/2013,19126,69089
08/09/2012,15412,82098
08/09/2013,15667,83320
10/24/2012,12345,79599
02/27/2013,11591,76343
10/23/2012,12201,77699
10/13/2012,19129,73964
04/17/2013,11734,80529
04/17/2012,13263,77613
06/18/2012,15306,78615
06/18/2013,12500,81404
03/21/2013,11922,81164
01/28/2013,11214,70925
02/20/2013,12092,76852
04/07/2012,20133,70745
04/07/2013,16978,66967
12/23/2012,18172,65677
09/13/2012,13513,82136
09/14/2012,15886,85468
05/27/2013,16089,56204
05/27/2012,20524,59806
06/01/2012,16352,85087
06/01/2013,19126,76258
01/11/2013,13735,78855
09/18/2012,11794,67824
02/05/2013,11483,75415
02/22/2013,14174,80605
07/26/2012,14458,79461
07/26/2013,15635,83996
01/21/2013,13325,65481
08/18/2012,20762,73205
12/07/2012,14977,82632
02/08/2013,9856,59416
09/26/2012,12655,69707
02/03/2013,14439,56874
09/01/2012,21775,71886
06/11/2013,12281,79978
06/11/2012,14455,77270
01/19/2013,17638,70887
12/26/2012,15006,72959
04/13/2013,17373,74099
04/13/2012,16275,76374
12/05/2012,13569,81546
06/02/2013,18285,69019
06/02/2012,20360,73720
11/30/2012,15578,82837
12/20/2012,14438,84073
05/03/2013,14623,84787
05/03/2012,13137,79614
06/09/2012,20762,75655
06/09/2013,18630,71074
08/31/2012,18215,84926
03/26/2012,13307,75479
03/12/2013,11170,75740
03/26/2013,12314,73231
03/28/2013,14261,83037
07/04/2012,17631,55512
07/04/2013,17601,61220
10/04/2012,12999,81393
04/22/2013,11984,74476
04/22/2012,16671,58450
01/27/2013,14652,58969
04/10/2012,15014,77652
10/12/2012,15279,84600
07/07/2013,18919,61656
07/07/2012,20866,69486
03/20/2012,13159,77642
03/20/2013,11933,80363
01/17/2013,12421,78200
08/29/2012,14753,81561
04/16/2012,13770,75119
04/16/2013,11497,78364
01/08/2013,12154,76329
08/17/2013,20167,76860
08/17/2012,18014,84795
04/15/2013,12115,76049
04/15/2012,19984,65438
10/11/2012,13079,81506
01/03/2013,13116,77175
03/19/2012,13458,75197
03/19/2013,11068,75631
06/19/2013,13256,84916
05/05/2013,15855,60360
05/05/2012,19873,73460
01/04/2013,14172,78390
06/12/2012,13447,77779
06/12/2013,13091,83841
03/24/2012,18869,70789
03/24/2013,17091,66986
11/21/2012,17792,88469
09/19/2012,13012,80287
03/23/2013,17653,74303
03/23/2012,16000,83070
03/13/2012,12938,77016
03/13/2013,11852,80149
04/10/2013,11961,80423
04/09/2012,15810,76568
10/14/2012,18425,68367
11/28/2012,13631,80227
06/28/2013,16275,86757
06/28/2012,16158,87441
11/19/2012,14441,77681
07/02/2012,16154,75873
07/02/2013,13521,79471
04/21/2012,19803,73167
04/21/2013,17015,66697
05/20/2012,20520,69341
05/20/2013,12798,77547
08/16/2012,16022,83981
08/16/2013,16543,85581
08/13/2013,12326,74879
08/13/2012,15777,76384
05/11/2012,16549,86404
05/11/2013,17596,75611
03/16/2013,16722,70063
03/16/2012,15644,81099
09/28/2012,15028,82899
08/24/2012,17663,85015
10/01/2012,13055,71205
07/17/2012,14834,78357
07/17/2013,13361,81442
07/01/2013,13871,74905
10/07/2012,17411,62186
01/07/2013,12261,72997
11/15/2012,14501,82031
03/03/2013,16367,63503
11/14/2012,14128,80517
05/14/2013,12373,80852
05/14/2012,13900,77195
04/03/2013,12291,81058
06/26/2013,13877,83550
06/26/2012,15294,81713
07/27/2013,19772,76157
07/27/2012,17220,82915
01/26/2013,14901,62761
01/05/2013,16519,67091
11/17/2012,19677,73981
06/07/2012,14575,82580
06/07/2013,13005,77671
05/17/2012,14473,84574
07/30/2012,15673,75634
01/20/2013,16259,62251
10/21/2012,18411,68750
10/20/2012,19113,75494
05/09/2013,12114,81227
05/09/2012,12912,78238
08/27/2012,14773,75013
02/21/2013,12324,79091
03/28/2012,13153,79268
03/12/2012,13548,75005
07/16/2013,13099,75899
10/18/2012,12949,81376
05/30/2013,13226,83212
05/30/2012,14052,80035
05/08/2012,12701,77410
05/08/2013,11224,77579
06/14/2012,14894,84578
06/14/2013,14871,87279
12/06/2012,13372,82108
12/30/2012,16235,59250
03/11/2012,18394,64095
03/11/2013,12089,76163
02/11/2013,10949,69519
07/22/2013,13769,74969
08/19/2012,21757,70355
07/24/2012,14630,77862
07/24/2013,13444,81370
03/17/2012,19053,68580
03/17/2013,16439,63769
04/01/2012,18522,64654
04/01/2013,13532,71266
05/31/2012,14701,83491
05/18/2012,16454,86949
03/31/2012,18278,67948
03/14/2012,13649,79585
02/28/2013,12871,80151
04/27/2012,15985,85023
04/27/2013,18442,76583
12/10/2012,12969,75275
06/13/2013,12132,78832
06/13/2012,13787,80259
02/19/2013,12494,73477
06/23/2012,22377,79129
06/23/2013,19673,72247
02/12/2013,11852,75314
04/08/2013,12337,76689
04/08/2012,22053,70719
05/01/2013,11982,80532
05/01/2012,12368,75495
09/20/2012,13140,81345
11/25/2012,19655,64638
04/04/2013,12618,82680
04/04/2012,14403,81116
10/16/2012,12430,78210
03/01/2013,14769,82138
06/10/2013,12474,74386
11/26/2012,14347,77868
